title,price,rating_text,link,author,description,genres
Untitled Collection: Sabbath Poems 2014,£14.27,Four,untitled-collection-sabbath-poems-2014_953/index.html,Unknown,,
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Unknown,,
Unicorn Tracks,£18.78,Three,unicorn-tracks_951/index.html,Unknown,,
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,Unknown,,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Unknown,,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Unknown,,
This One Summer,£19.49,Four,this-one-summer_947/index.html,Mariko Tamaki,,
Thirst,£17.27,Five,thirst_946/index.html,Unknown,,
The Torch Is Passed: A Harding Family Story,£19.09,One,the-torch-is-passed-a-harding-family-story_945/index.html,Unknown,,
The Secret of Dreadwillow Carse,£56.13,One,the-secret-of-dreadwillow-carse_944/index.html,Brian Farrey,,
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Ree Drummond,,
The Past Never Ends,£56.50,Four,the-past-never-ends_942/index.html,Jackson Burnett,,
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Unknown,,
The Nameless City (The Nameless City #1),£38.16,Four,the-nameless-city-the-nameless-city-1_940/index.html,Faith Erin Hicks,,
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,the-murder-that-never-was-forensic-instincts-5_939/index.html,Unknown,,
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Unknown,,
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Unknown,,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Worth Books Staff,,
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Unknown,,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Unknown,,
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Unknown,,
The Death of Humanity: and the Case for Life,£58.11,Four,the-death-of-humanity-and-the-case-for-life_932/index.html,Unknown,,
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Unknown,,
The Art Forger,£40.76,Three,the-art-forger_930/index.html,Eric Hebborn,,
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,A. C. Grayling,,
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Unknown,,
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Unknown,,
Soul Reader,£39.58,Two,soul-reader_926/index.html,David Brackett,,
Security,£39.25,Two,security_925/index.html,Benjamin Graham,,
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,saga-volume-6-saga-collected-editions-6_924/index.html,Unknown,,
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,saga-volume-5-saga-collected-editions-5_923/index.html,Unknown,,
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Unknown,,
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Unknown,,
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Unknown,,
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,princess-between-worlds-wide-awake-princess-5_919/index.html,Unknown,,
"Pop Gun War, Volume 1: Gift",£18.97,One,pop-gun-war-volume-1-gift_918/index.html,Unknown,,
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,Unknown,,
Patience,£10.16,Three,patience_916/index.html,Isabel Miller,,
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Unknown,,
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Unknown,,
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,Unknown,,
On a Midnight Clear,£14.07,Three,on-a-midnight-clear_912/index.html,Unknown,,
Obsidian (Lux #1),£14.86,Two,obsidian-lux-1_911/index.html,Jennifer L. Armentrout,,
My Paris Kitchen: Recipes and Stories,£33.37,Two,my-paris-kitchen-recipes-and-stories_910/index.html,Unknown,,
Masks and Shadows,£56.40,Two,masks-and-shadows_909/index.html,Stephanie Burgis,,
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Unknown,,
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Unknown,,
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Unknown,,
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Unknown,,
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,layered-baking-building-and-styling-spectacular-cakes_904/index.html,Unknown,,
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Unknown,,
Join,£35.67,Five,join_902/index.html,Johanna Lindsey,,
In the Country We Love: My Family Divided,£22.00,Four,in-the-country-we-love-my-family-divided_901/index.html,Unknown,,
