title,author,year,cover_id,work_key,cover_url,description,subjects,content
The psychology of money,Henry Clay Lindgren,1991.0,6694177.0,/works/OL2780331W,https://covers.openlibrary.org/b/id/6694177-M.jpg,,"Psychological aspects of Money, Textbooks, Money, Psychology textbooks, Monnaie, Aspect psychologique, Psychologie, Geld, Psychological aspects, Humanities textbooks","The psychology of money Henry Clay Lindgren  Psychological aspects of Money, Textbooks, Money, Psychology textbooks, Monnaie, Aspect psychologique, Psychologie, Geld, Psychological aspects, Humanities textbooks"
Psychology,"Carole Wade, Carol Tavris",1987.0,6807843.0,/works/OL15844725W,https://covers.openlibrary.org/b/id/6807843-M.jpg,,"Textbooks, Psychologie, Psychology, Psicologia, Detective and mystery stories, Internet","Psychology Carole Wade, Carol Tavris  Textbooks, Psychologie, Psychology, Psicologia, Detective and mystery stories, Internet"
Introduction to Psychology,"Clifford Thomas Morgan, Richard A. King, John R. Wiesz, John Schopler",1956.0,9120645.0,/works/OL5098994W,https://covers.openlibrary.org/b/id/9120645-M.jpg,"In this Seventh Edition this have attempted to bring readers up-to-date, an ongoing challenge in our rapidly changing discipline. psychology, like other areas of Knowledge, has its classic theories and studies which from the basis for the much current work. Students should Know about these, too, and we have not negelected them. there is no change, but there is continuity as well.","Psychology, Psychologie, Einführung","Introduction to Psychology Clifford Thomas Morgan, Richard A. King, John R. Wiesz, John Schopler In this Seventh Edition this have attempted to bring readers up-to-date, an ongoing challenge in our rapidly changing discipline. psychology, like other areas of Knowledge, has its classic theories and studies which from the basis for the much current work. Students should Know about these, too, and we have not negelected them. there is no change, but there is continuity as well. Psychology, Psychologie, Einführung"
Feminine Psychology,Karen Horney,1967.0,248756.0,/works/OL98942W,https://covers.openlibrary.org/b/id/248756-M.jpg,"""Because the role of woman as a contributing member of society comes increasingly under scrutiny, Karen Horney's thoughts and theories about feminine psychology are particularly relevant to our day. In this new collection of papers, many previously unavailable in English, Karen Horney brings to the subject of femininity both profound knowledge of women and dedicated skill as a therapist. As a psychoanalytic pioneer who trained at the Berlin Psychoanalytic Institute in the 1920's, Dr. Horney began to question certain of Freud's theories, especially his libido theory, which her own careful clinical observations seems to contradict. At the same time her reading in anthropology strengthened her feeling that an organism's behavior is determined culturally as well as biologically. A male-oriented, materialistic society, such as the one into which Freud was born, would evolve theories of separate male and female psychologies. In such a society a woman's outlook on life would appear to be determined by her envy of the male sex organ. According to Dr. Horney, what woman really envies are masculine attributes and the opportunities society offers more readily to men. In this book her discussion of such subjects as frigidity, the problem of monogamy, maternal conflicts, feminine masochism, and the neurotic need for love offers valuable insights into the problems confronting women today - the problesm taht they bring to psychiatrists, marriage counselors, and clergymen.""--Publisher's description.","Sex (psychology), Women, psychology, Women, Psychology, Textbooks, Sex Behavior, Psychology textbooks, Humanities textbooks, Sexual Behavior, Femmes, Sexe (Psychologie), Psychologie","Feminine Psychology Karen Horney ""Because the role of woman as a contributing member of society comes increasingly under scrutiny, Karen Horney's thoughts and theories about feminine psychology are particularly relevant to our day. In this new collection of papers, many previously unavailable in English, Karen Horney brings to the subject of femininity both profound knowledge of women and dedicated skill as a therapist. As a psychoanalytic pioneer who trained at the Berlin Psychoanalytic Institute in the 1920's, Dr. Horney began to question certain of Freud's theories, especially his libido theory, which her own careful clinical observations seems to contradict. At the same time her reading in anthropology strengthened her feeling that an organism's behavior is determined culturally as well as biologically. A male-oriented, materialistic society, such as the one into which Freud was born, would evolve theories of separate male and female psychologies. In such a society a woman's outlook on life would appear to be determined by her envy of the male sex organ. According to Dr. Horney, what woman really envies are masculine attributes and the opportunities society offers more readily to men. In this book her discussion of such subjects as frigidity, the problem of monogamy, maternal conflicts, feminine masochism, and the neurotic need for love offers valuable insights into the problems confronting women today - the problesm taht they bring to psychiatrists, marriage counselors, and clergymen.""--Publisher's description. Sex (psychology), Women, psychology, Women, Psychology, Textbooks, Sex Behavior, Psychology textbooks, Humanities textbooks, Sexual Behavior, Femmes, Sexe (Psychologie), Psychologie"
The Housemaid,Freida McFadden,2022.0,15105883.0,/works/OL27729743W,https://covers.openlibrary.org/b/id/15105883-M.jpg,"Every day I clean the Winchesters' beautiful house top to bottom. I collect their daughter from school. And I cook a delicious meal for the whole family before heading up to eat alone in my tiny room on the top floor.

I try to ignore how Nina makes a mess just to watch me clean it up. How she tells strange lies about her own daughter. And how her husband Andrew seems more broken every day. But as I look into Andrew's handsome brown eyes, so full of pain, it's hard not to imagine what it would be like to live Nina's life. The walk-in closet, the fancy car, the perfect husband.

I only try on one of Nina's pristine white dresses once. Just to see what it's like. But she soon finds out... and by the time I realize my attic bedroom door only locks from the outside, it's far too late.

But I reassure myself: the Winchesters don't know who I really am.

They don't know what I'm capable of . . .","nyt:trade-fiction-paperback=2023-05-14, New York Times bestseller, Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Psychological Thriller, Series:The-Housemaid, Contemporary, Romance, Fiction, thrillers, domestic, Fiction, thrillers, psychological, Fiction, thrillers, suspense","The Housemaid Freida McFadden Every day I clean the Winchesters' beautiful house top to bottom. I collect their daughter from school. And I cook a delicious meal for the whole family before heading up to eat alone in my tiny room on the top floor.

I try to ignore how Nina makes a mess just to watch me clean it up. How she tells strange lies about her own daughter. And how her husband Andrew seems more broken every day. But as I look into Andrew's handsome brown eyes, so full of pain, it's hard not to imagine what it would be like to live Nina's life. The walk-in closet, the fancy car, the perfect husband.

I only try on one of Nina's pristine white dresses once. Just to see what it's like. But she soon finds out... and by the time I realize my attic bedroom door only locks from the outside, it's far too late.

But I reassure myself: the Winchesters don't know who I really am.

They don't know what I'm capable of . . . nyt:trade-fiction-paperback=2023-05-14, New York Times bestseller, Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Psychological Thriller, Series:The-Housemaid, Contemporary, Romance, Fiction, thrillers, domestic, Fiction, thrillers, psychological, Fiction, thrillers, suspense"
The principles of psychology,William James,1890.0,5815742.0,/works/OL1502064W,https://covers.openlibrary.org/b/id/5815742-M.jpg,"The Principles of Psychology is a monumental text in the history of psychology, written by William James and published in 1890. There were four methods in James' psychology: analysis (i.e. the logical criticism of precursor and contemporary views of the mind), introspection (i.e. the psychologist's study of his own states of mind), experiment (e.g. in hypnosis or neurology), and comparison (the use of statistical means to distinguish norms from anomalies).",Psychology,"The principles of psychology William James The Principles of Psychology is a monumental text in the history of psychology, written by William James and published in 1890. There were four methods in James' psychology: analysis (i.e. the logical criticism of precursor and contemporary views of the mind), introspection (i.e. the psychologist's study of his own states of mind), experiment (e.g. in hypnosis or neurology), and comparison (the use of statistical means to distinguish norms from anomalies). Psychology"
Games People Play,Eric Berne,1964.0,8281189.0,/works/OL1593567W,https://covers.openlibrary.org/b/id/8281189-M.jpg,"Games People Play (1964) explores the fascinating and bizarre world of psychological games, where players unconsciously manipulate each other into acting in alienating and self-destructive ways.","Game theory, Interpersonal relations, Social interaction, Transactional analysis, Social Psychology, Interacción social, Psihoterapija, Social role, Sociale relaties, Psychologische aspecten, Transactionele analyse, Journalists, fiction, Balkan peninsula, fiction, Fiction, psychological, Fiction, political, Psychology, Interaction social, games, relationships, communication, interaction, personality, neurosis, intimacy, psychotherapy, Interpersonal relationships, Psychological aspects, Manners and customs","Games People Play Eric Berne Games People Play (1964) explores the fascinating and bizarre world of psychological games, where players unconsciously manipulate each other into acting in alienating and self-destructive ways. Game theory, Interpersonal relations, Social interaction, Transactional analysis, Social Psychology, Interacción social, Psihoterapija, Social role, Sociale relaties, Psychologische aspecten, Transactionele analyse, Journalists, fiction, Balkan peninsula, fiction, Fiction, psychological, Fiction, political, Psychology, Interaction social, games, relationships, communication, interaction, personality, neurosis, intimacy, psychotherapy, Interpersonal relationships, Psychological aspects, Manners and customs"
Social psychology,"Robert A. Baron, Donn Erwin Byrne, Nyla R. Branscombe",1977.0,137851.0,/works/OL2661658W,https://covers.openlibrary.org/b/id/137851-M.jpg,,"Psychologie sociale, Einführung, Sozialpsychologie, Social psychology, Sociale psychologie, Philosophy, Political science, Communicatie, Psychology, Hm1033 .b35x 2004","Social psychology Robert A. Baron, Donn Erwin Byrne, Nyla R. Branscombe  Psychologie sociale, Einführung, Sozialpsychologie, Social psychology, Sociale psychologie, Philosophy, Political science, Communicatie, Psychology, Hm1033 .b35x 2004"
Dark Psychology 101 and Dark Psychology Secrets,Moneta Raye,2019.0,13234695.0,/works/OL30146102W,https://covers.openlibrary.org/b/id/13234695-M.jpg,,,Dark Psychology 101 and Dark Psychology Secrets Moneta Raye  
Psychology,Saundra K. Ciccarelli,2006.0,1110072.0,/works/OL5849524W,https://covers.openlibrary.org/b/id/1110072-M.jpg,,"Psychology, Textbooks, Study and teaching, Examinations, questions","Psychology Saundra K. Ciccarelli  Psychology, Textbooks, Study and teaching, Examinations, questions"
Psychologische Typen,Carl Gustav Jung,1921.0,442955.0,/works/OL95107W,https://covers.openlibrary.org/b/id/442955-M.jpg,"Overview: The book is rich in material drawn from literature, aesthetics, religion, and philosophy. The extended chapters that give general descriptions of the types and definitions of Jung's principal psychological concepts are key documents in analytical psychology.","Psychoanalysis, Typology (Psychology), Characters and characteristics, Individuality, Personality, Typologie (Psychologie), Individuation (Philosophy), Psychology, Psychanalyse, Typology (Psychology of), Persoonlijkheidsontwikkeling, Persoonlijkheid, Introversie, Extraversie, Psychoanalytic Theory, Personnalité, FAMILY & RELATIONSHIPS, Life Stages, Developmental, Lifespan Development, Character, Painting, Bibliography","Psychologische Typen Carl Gustav Jung Overview: The book is rich in material drawn from literature, aesthetics, religion, and philosophy. The extended chapters that give general descriptions of the types and definitions of Jung's principal psychological concepts are key documents in analytical psychology. Psychoanalysis, Typology (Psychology), Characters and characteristics, Individuality, Personality, Typologie (Psychologie), Individuation (Philosophy), Psychology, Psychanalyse, Typology (Psychology of), Persoonlijkheidsontwikkeling, Persoonlijkheid, Introversie, Extraversie, Psychoanalytic Theory, Personnalité, FAMILY & RELATIONSHIPS, Life Stages, Developmental, Lifespan Development, Character, Painting, Bibliography"
Psychology principles in practice,Spencer A. Rathus,1981.0,7046066.0,/works/OL2035732W,https://covers.openlibrary.org/b/id/7046066-M.jpg,,"Psychology, Textbooks, Psychology textbooks, Humanities textbooks, Study and teaching (Secondary), Psychology &amp; psychiatry, General","Psychology principles in practice Spencer A. Rathus  Psychology, Textbooks, Psychology textbooks, Humanities textbooks, Study and teaching (Secondary), Psychology &amp; psychiatry, General"
A Primer of Freudian Psychology,Calvin S. Hall,1954.0,296145.0,/works/OL1941879W,https://covers.openlibrary.org/b/id/296145-M.jpg,"The purpose of this primer is to present clearly, briefly, and systematically the psychological theories advanced by Sigmund Freud. Freud's contributions in the areas of abnormal psychology, psychopathology, psychotherapy, and psychiatry have been summarized by a number of writers, but his work as a psychological theorist in the area of general psychology has not been presented in a systematic and comprehensive form. The author contends that Freud's distinctive role in intellectual and scientific history is that of a psychological theorist. Freud himself regarded psychoanalysis primarily as a system of psychology and not merely a branch of abnormal psychology or psychiatry. He wanted to be remembered and identified chiefly as a psychologist. The author's purpose, then, in summarizing the psychology of Sigmund Freud is to rescue him from the domain of mental disorders and to restore him to his legitimate place within the province of normal psychology. It is argued that if Freud is permitted to remain an exclusive possession of a branch of medicine, not only will his fundamental theories be relegated to a subordinate position, but also psychology will be the loser for having ignored one of its most creative minds. (PsycINFO Database Record (c) 2005 APA, all rights reserved).","Psychoanalysis, Textbooks, Personnalité, Psychoanalyse, Psychology textbooks, Humanities textbooks, Personality, Psychanalyse, Psychology, Freud, sigmund, 1856-1939, Psychologie","A Primer of Freudian Psychology Calvin S. Hall The purpose of this primer is to present clearly, briefly, and systematically the psychological theories advanced by Sigmund Freud. Freud's contributions in the areas of abnormal psychology, psychopathology, psychotherapy, and psychiatry have been summarized by a number of writers, but his work as a psychological theorist in the area of general psychology has not been presented in a systematic and comprehensive form. The author contends that Freud's distinctive role in intellectual and scientific history is that of a psychological theorist. Freud himself regarded psychoanalysis primarily as a system of psychology and not merely a branch of abnormal psychology or psychiatry. He wanted to be remembered and identified chiefly as a psychologist. The author's purpose, then, in summarizing the psychology of Sigmund Freud is to rescue him from the domain of mental disorders and to restore him to his legitimate place within the province of normal psychology. It is argued that if Freud is permitted to remain an exclusive possession of a branch of medicine, not only will his fundamental theories be relegated to a subordinate position, but also psychology will be the loser for having ignored one of its most creative minds. (PsycINFO Database Record (c) 2005 APA, all rights reserved). Psychoanalysis, Textbooks, Personnalité, Psychoanalyse, Psychology textbooks, Humanities textbooks, Personality, Psychanalyse, Psychology, Freud, sigmund, 1856-1939, Psychologie"
Developmental psychology,Elizabeth Bergner Hurlock,1953.0,7228372.0,/works/OL6564579W,https://covers.openlibrary.org/b/id/7228372-M.jpg,"xiv, 395 p. 25 cm","Developmental psychology, Psychology, Psychologie génétique, Entwicklungspsychologie, Psychologie du développement, Ontwikkelingspsychologie, Einführung","Developmental psychology Elizabeth Bergner Hurlock xiv, 395 p. 25 cm Developmental psychology, Psychology, Psychologie génétique, Entwicklungspsychologie, Psychologie du développement, Ontwikkelingspsychologie, Einführung"
The Psychology of Money,"Michael Argyle, Adrian Furnham",2013.0,15137999.0,/works/OL27366295W,https://covers.openlibrary.org/b/id/15137999-M.jpg,,,"The Psychology of Money Michael Argyle, Adrian Furnham  "
